date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
20000629,0,213382,11,9.123893805309734,678,1,3,10,20.859923670092126,21.174394881199046,65,17,129.44395715034827,8.611939380939157
20000718,0,209676,11,9.151824817518248,685,1,3,10,20.178849144634526,20.48305290058379,67,17,129.57633341326724,8.747678431887396
20000802,0,208649,11,9.313636363636364,660,1,3,10,20.174137530940595,20.478270257537687,72,14,128.42892562834993,8.710472329858922
20000807,0,194994,11,9.32882882882883,666,1,3,10,18.85384436881188,19.13807317839196,73,16,129.64574354226306,8.907553150197767
20000810,0,194994,11,9.32882882882883,666,1,3,10,18.85384436881188,19.13807317839196,73,16,129.64574354226306,8.907553150197767
20000811,0,205820,11,9.301972685887709,659,1,3,10,19.90060334158416,20.200612437185928,72,14,127.60977952525441,8.704202646812428
20000813,0,193851,11,9.321375186846039,669,1,3,10,18.980585756360448,19.266725240124675,76,16,129.71323028358952,9.07926484415873
20000816,0,203085,11,9.306184012066366,663,1,3,10,19.88471691314701,20.184486514852743,75,14,128.65940423238342,8.880208252046778
20000818,0,203085,11,9.306184012066366,663,1,3,10,19.88471691314701,20.184486514852743,75,14,128.65940423238342,8.880208252046778
20000821,0,213393,11,9.279034690799397,663,1,3,10,20.665121089573745,20.97665557836129,76,14,128.22625184228178,8.93618233177099
20000825,0,197810,11,9.248417721518987,632,1,3,10,20.06675052751177,20.369264354559682,68,14,127.68570514061011,8.362106560107483
20000828,0,200639,11,9.260663507109005,633,1,3,10,20.353737217984094,20.660577477551694,68,14,128.54372394958207,8.368438474285597
20000829,0,206786,11,9.246835443037975,632,1,3,10,20.97731699399448,21.29355795370294,68,14,128.35783074486824,8.36653948751293
20000831,0,200639,11,9.260663507109005,633,1,3,10,20.353737217984094,20.660577477551694,68,14,128.54372394958207,8.368438474285597
20000901,0,206786,11,9.246835443037975,632,1,3,10,20.97731699399448,21.29355795370294,68,14,128.35783074486824,8.36653948751293
20000902,0,186984,11,9.27699530516432,639,1,3,10,18.968511605258886,19.2544690666447,69,16,129.81462141946415,8.565670145645466
20000904,0,186984,11,9.27699530516432,639,1,3,10,18.968511605258886,19.2544690666447,69,16,129.81462141946415,8.565670145645466
20000908,0,200639,11,9.260663507109005,633,1,3,10,20.353737217984094,20.660577477551694,68,14,128.54372394958207,8.368438474285597
20000912,0,209566,11,9.040816326530612,637,1,3,10,21.189857956383875,21.50930305120373,70,14,128.59053873624018,8.496369256367249
20000915,0,200590,11,9.042386185243329,637,1,3,10,20.282267197307966,20.588030019377936,70,14,127.92485267919615,8.49195143648902
20000916,0,197486,11,9.233704292527822,629,1,3,10,20.367780528052805,20.674832495812396,69,13,127.87084554375889,8.345486954212149
20000917,0,197486,11,9.233704292527822,629,1,3,10,20.367780528052805,20.674832495812396,69,13,127.87084554375889,8.345486954212149
20000918,0,191360,11,9.174629324546952,607,1,3,10,20.138748568734425,20.442347793388713,64,13,127.70531844541966,7.973338345082444
20000922,0,187934,11,9.073136427566807,711,1,3,10,20.693201437581482,21.005159248198286,69,18,131.54944316385576,9.050988485204206
20000927,0,207736,11,9.044034090909092,704,1,3,10,22.87357739332652,23.218405193225916,68,16,130.01652821875572,8.851849986964872
20000929,0,207736,11,9.044034090909092,704,1,3,10,22.87357739332652,23.218405193225916,68,16,130.01652821875572,8.851849986964872
20001004,0,187934,11,9.073136427566807,711,1,3,10,20.693201437581482,21.005159248198286,69,18,131.54944316385576,9.050988485204206
20001007,0,187934,11,9.073136427566807,711,1,3,10,20.693201437581482,21.005159248198286,69,18,131.54944316385576,9.050988485204206
20001008,0,207736,11,9.044034090909092,704,1,3,10,22.87357739332652,23.218405193225916,68,16,130.01652821875572,8.851849986964872
20001009,0,200986,11,9.056737588652481,705,1,3,10,22.130342482646842,22.46396573615408,68,16,129.5150768964195,8.854280208177414
20001011,0,187934,11,9.073136427566807,711,1,3,10,20.693201437581482,21.005159248198286,69,18,131.54944316385576,9.050988485204206
20001012,0,207736,11,9.044034090909092,704,1,3,10,22.87357739332652,23.218405193225916,68,16,130.01652821875572,8.851849986964872
20001013,0,201589,11,9.056737588652481,705,1,3,10,22.19673813466756,22.5313623276525,68,16,130.23460368127445,8.85348973852544
20001016,0,207501,11,9.049645390070921,705,1,3,10,22.847701807547303,23.19213952323897,69,15,130.01204880039504,8.852816165758751
20001110,0,198772,11,9.046808510638298,705,1,3,10,21.886561431943907,22.216509594234516,68,15,129.3298880090179,8.796081287139282
20001222,0,198167,11,7.187697160883281,634,1,3,10,22.625109605056448,31.090286668172805,61,9,133.5140203507101,7.771978799151013
20010101,0,192763,11,7.184952978056426,638,1,3,10,22.008124474809104,30.242456761302307,61,9,138.71200573122596,7.792698617147128
20010122,0,143891,11,7.583582089552239,670,1,3,9,20.1451267864343,27.682419121494753,66,9,130.9014246180627,8.189140180650144
20010202,0,166481,11,7.52887537993921,658,1,3,9,23.307787509520182,32.02838827838828,65,7,128.94588457209562,7.964964763735065
20010214,0,164759,10,7.637573964497041,676,1,3,9,22.407654226961156,30.79147043432758,69,7,127.09086975949454,8.255135559480593
20010226,0,167590,10,7.6484490398818314,677,1,3,9,22.79267761941029,31.32055019810122,69,7,128.23892051984157,8.261917527190175
20010301,0,151145,11,7.6875,688,1,3,9,20.556114677401805,28.24717799207595,70,9,129.9034873763073,8.48523945490141
20010302,0,173735,10,7.636094674556213,676,1,3,9,23.62841366554238,32.46897660162966,69,7,127.97238470747156,8.261068107566016
20010331,0,172365,11,7.620052770448549,758,1,3,9,23.037043175159848,31.656345043416934,75,7,128.40888012395337,8.984323345325212
20010401,0,172365,11,7.620052770448549,758,1,3,9,23.037043175159848,31.656345043416934,75,7,128.40888012395337,8.984323345325212
20010403,0,166220,11,7.6310935441370225,759,1,3,9,22.215747492675835,30.5277618606838,75,7,128.67123536925183,8.985244776573756
20010404,0,172365,11,7.620052770448549,758,1,3,9,23.037043175159848,31.656345043416934,75,7,128.40888012395337,8.984323345325212
20010405,0,172365,11,7.620052770448549,758,1,3,9,23.037043175159848,31.656345043416934,75,7,128.40888012395337,8.984323345325212
20010406,0,163389,11,7.621372031662269,758,1,3,9,21.83737677223446,30.007823863886806,75,7,127.54876455575928,8.978493781687941
20010407,0,171950,11,7.620052770448549,758,1,3,9,22.981577315398926,31.580126651092403,75,7,128.38775342092256,8.984147312794446
20010408,0,165805,11,7.6310935441370225,759,1,3,9,22.160281632914913,30.451543468359265,75,7,128.64984253431683,8.985068644574428
20010409,0,171950,11,7.620052770448549,758,1,3,9,22.981577315398926,31.580126651092403,75,7,128.38775342092256,8.984147312794446
20010410,0,171950,11,7.620052770448549,758,1,3,9,22.981577315398926,31.580126651092403,75,7,128.38775342092256,8.984147312794446
20010411,0,165203,11,7.6310935441370225,759,1,3,9,22.079822723093045,30.340980884794522,75,7,127.75973442884685,8.986028046430212
20010416,0,165354,11,7.6310935441370225,759,1,3,9,22.10000427688557,30.36871336007405,75,7,127.76484914651641,8.98605324553809
20010420,0,165956,11,7.6310935441370225,759,1,3,9,22.18046318670744,30.479275943638793,75,7,128.6548861438089,8.985093847089155
